period,bx_gse_nt,by_gse_nt,bz_gse_nt,theta_gse_deg,phi_gse_deg,bx_gsm_nt,by_gsm_nt,bz_gsm_nt,theta_gsm_deg,phi_gsm_deg,bt_total_nt,solar_wind_density_cm3,velocity_m_s,solar_wind_temp_k,timedelta_s,gse_x_dscovr_km,gse_y_dscovr_km,gse_z_dscovr_km,smoothed_sunspot_number,is_anomaly_flagged,anomaly_reason,newell_coupling,sw_dynamic_pressure_npa,bz_rolling_mean_3h,bz_rolling_min_3h,src_ac,src_ds,storm_sev_extreme,storm_sev_intense,storm_sev_moderate,storm_sev_minor,storm_sev_quiet,storm_sev_positive,sw_spd_slow,sw_spd_normal,sw_spd_fast,sw_spd_very_fast,sw_spd_extreme,radio_flux_107_sfu_mean,flares_m_count_sum,flares_x_count_sum,xray_flux_numeric_max,global_surface_temp_c,global_surface_humidity_pct,global_surface_pressure_hpa,global_surface_wind_speed_knots,global_cloud_cover_pct
train_a,-5.55,3.0,1.25,11.09,153.37,-5.55,3.0,1.25,11.09,153.37,6.8,1.53,383.92,110237.0,0.0,0.0,0.0,0.0,136.9025,0,,1.0918336549898289,0.1885970960968896,1.25,1.25,True,False,False,False,False,False,True,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-5.58,3.16,1.17,10.1,151.91,-5.58,3.16,1.17,10.1,151.91,6.83,1.69,381.79,123825.0,60.0,0.0,0.0,0.0,136.9025,0,,1.1163936220627346,0.2060145525639227,1.21,1.17,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-5.15,3.66,0.85,7.87,146.04,-5.15,3.66,0.85,7.87,146.04,6.77,1.97,389.11,82548.0,120.0,0.0,0.0,0.0,136.9025,0,,1.1893519262995609,0.2494440259572631,1.09,0.85,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-5.2,3.68,0.68,6.17,146.17,-5.2,3.68,0.68,6.17,146.17,6.74,1.97,389.11,82548.0,180.0,0.0,0.0,0.0,136.9025,0,,1.2297351252511886,0.2494440259572631,0.9875,0.68,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-5.12,3.68,0.49,4.62,145.72,-5.12,3.68,0.49,4.62,145.72,6.65,1.77,384.26,94269.0,240.0,0.0,0.0,0.0,136.9025,0,,1.2675865451337596,0.2185675680406476,0.8879999999999999,0.49,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-4.78,3.86,0.05,0.8,142.47,-4.78,3.86,0.05,0.8,142.47,6.54,0.93,367.98,28227.0,300.0,0.0,0.0,0.0,136.9025,0,,1.3737292445238314,0.1053157865146236,0.7483333333333334,0.05,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-5.15,3.53,0.52,4.8,147.06,-5.15,3.53,0.52,4.8,147.06,6.63,1.74,384.72,87302.0,360.0,0.0,0.0,0.0,136.9025,0,,1.256483246021,0.2153777686075008,0.7157142857142856,0.05,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-5.35,3.06,1.21,10.81,152.06,-5.35,3.06,1.21,10.81,152.06,6.65,1.7,382.41,101225.0,420.0,0.0,0.0,0.0,136.9025,0,,1.0788329123603082,0.207907185469851,0.7775,0.05,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-5.77,2.69,0.73,6.66,156.36,-5.77,2.69,0.73,6.66,156.36,6.7,1.1,357.36,79922.0,480.0,0.0,0.0,0.0,136.9025,0,,1.2104835935347742,0.117480736600128,0.7722222222222223,0.05,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
train_a,-6.07,2.2,0.27,2.65,161.24,-6.07,2.2,0.27,2.65,161.24,6.8,1.77,380.53,125156.0,540.0,0.0,0.0,0.0,136.9025,0,,1.3495544186696058,0.2143449053053059,0.722,0.05,True,False,False,False,False,False,False,False,True,False,False,False,False,88.79508196721312,16,0,5.8e-07,8.98711111111111,79.31111111111112,1018.6444444444444,5.567589724444445,48.25555555555555
